Match,TeamInnings,Battingposition,batsmanName,Runs,Balls,Fours,Sixes,SR,Out_Status,Matchlink
RR vs SRH,RR,4,Riyan Parag,6,10,0,0,60.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
RR vs SRH,RR,5,Dhruv Jurel,56,35,7,2,160.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
RR vs SRH,RR,6,Ravichandran Ashwin,0,3,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
RR vs SRH,RR,7,Shimron Hetmyer,4,10,0,0,40.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
RR vs SRH,RR,8,Rovman Powell,6,12,0,0,50.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
RR vs SRH,RR,9,Trent Boult,0,3,0,0,0.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
RCB vs RR,RCB,1,Virat Kohli,33,24,3,1,137.50,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RCB vs RR,RCB,2,Faf du Plessis (c),17,14,2,1,121.42,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RCB vs RR,RCB,3,Cameron Green,27,21,2,1,128.57,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RCB vs RR,RCB,4,Rajat Patidar,34,22,2,2,154.54,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RCB vs RR,RCB,5,Glenn Maxwell,0,1,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RCB vs RR,RCB,6,Mahipal Lomror,32,17,2,2,188.23,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RCB vs RR,RCB,7,Dinesh Karthik ,11,13,1,0,84.61,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RCB vs RR,RCB,8,Swapnil Singh,9,4,0,1,225.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RCB vs RR,RCB,9,Karn Sharma,5,4,1,0,125.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RR vs RCB,RR,1,Yashasvi Jaiswal,45,30,8,0,150.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RR vs RCB,RR,2,Tom Kohler-Cadmore,20,15,4,0,133.33,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RR vs RCB,RR,3,Sanju Samson (c),17,13,0,1,130.76,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RR vs RCB,RR,4,Riyan Parag,36,26,2,2,138.46,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RR vs RCB,RR,5,Dhruv Jurel,8,8,1,0,100.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RR vs RCB,RR,6,Shimron Hetmyer,26,14,3,1,185.71,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RR vs RCB,RR,7,Rovman Powell,16,8,2,1,200.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
RR vs RCB,RR,8,Ravichandran Ashwin,0,0,0,0,-,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
SRH vs KKR,SRH,1,Travis Head,0,2,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
SRH vs KKR,SRH,2,Abhishek Sharma,3,4,0,0,75.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
SRH vs KKR,SRH,3,Rahul Tripathi,55,35,7,1,157.14,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
SRH vs KKR,SRH,4,Nitish Kumar Reddy,9,10,1,0,90.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
