Match,Team,Bowler,Overs,Maidens,Runs,Wickets,Economy,Dots,Fours,Sixes,WD,NB,Matchlink
LSG vs SRH,SRH,Ravi Bishnoi,2.0,0,34,0,17.0,4,2,4,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-lucknow-super-giants-57th-match-1426295/full-scorecard
LSG vs SRH,SRH,Naveen-ul-Haq,2.0,0,37,0,18.5,1,5,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-lucknow-super-giants-57th-match-1426295/full-scorecard
LSG vs SRH,SRH,Ayush Badoni,1.0,0,19,0,19.0,0,1,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-lucknow-super-giants-57th-match-1426295/full-scorecard
RR vs DC,DC,Trent Boult,4.0,0,48,1,12.0,8,7,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
RR vs DC,DC,Sandeep Sharma,4.0,0,42,1,10.5,7,5,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
RR vs DC,DC,Avesh Khan,2.0,0,42,0,21.0,0,5,3,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
RR vs DC,DC,Ravichandran Ashwin,4.0,0,24,3,6.0,6,0,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
RR vs DC,DC,Riyan Parag,2.0,0,17,0,8.5,4,1,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
RR vs DC,DC,Yuzvendra Chahal,4.0,0,48,1,12.0,5,4,3,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
DC vs RR,RR,Khaleel Ahmed,4.0,0,47,2,11.75,9,5,2,7,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
DC vs RR,RR,Ishant Sharma,3.0,0,34,0,11.33,7,4,2,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
DC vs RR,RR,Mukesh Kumar,3.0,0,30,2,10.0,7,4,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
DC vs RR,RR,Axar Patel,3.0,0,25,1,8.33,9,2,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
DC vs RR,RR,Kuldeep Yadav,4.0,0,25,2,6.25,10,0,2,0,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
DC vs RR,RR,Rasikh Salam,3.0,0,36,1,12.0,6,1,4,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
MI vs SRH,SRH,Nuwan Thushara,4.0,0,42,0,10.5,7,3,1,3,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
MI vs SRH,SRH,Anshul Kamboj,4.0,0,42,1,10.5,9,3,2,1,2,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
MI vs SRH,SRH,Jasprit Bumrah,4.0,0,23,1,5.75,9,2,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
MI vs SRH,SRH,Hardik Pandya,4.0,0,31,3,7.75,7,4,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
MI vs SRH,SRH,Piyush Chawla,4.0,0,33,3,8.25,7,1,2,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
SRH vs MI,MI,Bhuvneshwar Kumar,4.0,1,22,1,5.5,17,3,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
SRH vs MI,MI,Marco Jansen,3.0,0,45,1,15.0,5,5,2,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
SRH vs MI,MI,Pat Cummins,4.0,1,35,1,8.75,12,4,2,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
SRH vs MI,MI,T Natarajan,3.2,0,31,0,9.3,8,4,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
SRH vs MI,MI,Nitish Kumar Reddy,2.0,0,16,0,8.0,5,3,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
SRH vs MI,MI,Shahbaz Ahmed,1.0,0,11,0,11.0,1,2,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
LSG vs KKR,KKR,Marcus Stoinis,2.0,0,29,0,14.5,4,2,3,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
LSG vs KKR,KKR,Mohsin Khan,2.0,0,28,0,14.0,4,3,2,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
LSG vs KKR,KKR,Naveen-ul-Haq,4.0,0,49,3,12.25,7,9,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
LSG vs KKR,KKR,Yash Thakur,4.0,0,46,1,11.5,7,3,3,3,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
LSG vs KKR,KKR,Krunal Pandya,2.0,0,26,0,13.0,2,0,2,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
LSG vs KKR,KKR,Ravi Bishnoi,4.0,0,33,1,8.25,8,3,1,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
LSG vs KKR,KKR,Yudhvir Singh,2.0,0,24,1,12.0,2,1,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
KKR vs LSG,LSG,Vaibhav Arora,2.0,0,21,0,10.5,4,2,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
KKR vs LSG,LSG,Mitchell Starc,2.0,0,22,1,11.0,5,5,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
KKR vs LSG,LSG,Sunil Narine,4.0,0,22,1,5.5,8,1,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
KKR vs LSG,LSG,Harshit Rana,3.1,0,24,3,7.57,8,2,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
KKR vs LSG,LSG,Varun Chakravarthy,3.0,0,30,3,10.0,8,0,4,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
KKR vs LSG,LSG,Andre Russell,2.0,0,17,2,8.5,4,0,1,3,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
PBKS vs CSK,CSK,Kagiso Rabada,3.0,0,24,0,8.0,7,3,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
PBKS vs CSK,CSK,Arshdeep Singh,4.0,0,42,2,10.5,7,4,2,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
PBKS vs CSK,CSK,Sam Curran,4.0,0,34,1,8.5,3,2,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
PBKS vs CSK,CSK,Harpreet Brar,1.0,0,19,0,19.0,1,3,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
PBKS vs CSK,CSK,Rahul Chahar,4.0,0,23,3,5.75,10,1,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
PBKS vs CSK,CSK,Harshal Patel,4.0,0,24,3,6.0,10,2,0,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
CSK vs PBKS,PBKS,Mitchell Santner,3.0,0,10,1,3.33,11,1,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
CSK vs PBKS,PBKS,Tushar Deshpande,4.0,0,35,2,8.75,11,5,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
CSK vs PBKS,PBKS,Richard Gleeson,4.0,0,41,0,10.25,10,3,3,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
CSK vs PBKS,PBKS,Ravindra Jadeja,4.0,0,20,3,5.0,9,1,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
CSK vs PBKS,PBKS,Simarjeet Singh,3.0,0,16,2,5.33,11,1,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
CSK vs PBKS,PBKS,Shardul Thakur,2.0,0,12,1,6.0,4,1,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
RCB vs GT,GT,Swapnil Singh,1.0,0,1,0,1.0,5,0,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
RCB vs GT,GT,Mohammed Siraj,4.0,0,29,2,7.25,13,5,0,3,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
RCB vs GT,GT,Yash Dayal,4.0,0,21,2,5.25,11,2,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
RCB vs GT,GT,Cameron Green,4.0,0,28,1,7.0,11,3,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
RCB vs GT,GT,Vijaykumar Vyshak,3.3,0,23,2,6.57,10,2,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
RCB vs GT,GT,Karn Sharma,3.0,0,42,1,14.0,6,5,3,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
GT vs RCB,RCB,Mohit Sharma,2.0,0,32,0,16.0,2,4,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
GT vs RCB,RCB,Josh Little,4.0,0,45,4,11.25,9,6,2,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
GT vs RCB,RCB,Manav Suthar,2.0,0,26,0,13.0,4,1,3,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
GT vs RCB,RCB,Noor Ahmad,4.0,0,23,2,5.75,13,4,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
GT vs RCB,RCB,Rashid Khan,1.4,0,25,0,15.0,1,3,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
MI vs KKR,KKR,Nuwan Thushara,4.0,0,42,3,10.5,11,3,3,3,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
MI vs KKR,KKR,Jasprit Bumrah,3.5,0,18,3,4.69,15,1,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
MI vs KKR,KKR,Gerald Coetzee,2.0,0,24,0,12.0,3,3,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
MI vs KKR,KKR,Hardik Pandya,4.0,0,44,2,11.0,9,2,4,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
MI vs KKR,KKR,Naman Dhir,3.0,0,25,0,8.33,3,2,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
MI vs KKR,KKR,Piyush Chawla,3.0,0,15,1,5.0,8,1,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
KKR vs MI,MI,Vaibhav Arora,3.0,0,35,0,11.66,5,5,1,1,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
KKR vs MI,MI,Mitchell Starc,3.5,0,33,4,8.6,12,1,3,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
KKR vs MI,MI,Varun Chakravarthy,4.0,0,22,2,5.5,11,2,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
KKR vs MI,MI,Sunil Narine,4.0,0,22,2,5.5,11,2,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
KKR vs MI,MI,Andre Russell,4.0,0,30,2,7.5,11,1,2,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
RR vs SRH,SRH,Trent Boult,4.0,0,33,0,8.25,8,5,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
RR vs SRH,SRH,Ravichandran Ashwin,4.0,0,36,0,9.0,10,0,4,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
RR vs SRH,SRH,Avesh Khan,4.0,0,39,2,9.75,12,3,3,3,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
RR vs SRH,SRH,Sandeep Sharma,4.0,0,31,1,7.75,10,1,2,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
RR vs SRH,SRH,Yuzvendra Chahal,4.0,0,62,0,15.5,6,4,6,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
SRH vs RR,RR,Bhuvneshwar Kumar,4.0,0,41,3,10.25,8,4,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
SRH vs RR,RR,Marco Jansen,4.0,0,44,0,11.0,10,7,0,3,2,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
SRH vs RR,RR,Pat Cummins,4.0,0,34,2,8.5,12,2,3,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
SRH vs RR,RR,T Natarajan,4.0,0,35,2,8.75,8,2,2,3,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
SRH vs RR,RR,Jaydev Unadkat,2.0,0,23,0,11.5,2,1,1,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
SRH vs RR,RR,Nitish Kumar Reddy,1.0,0,12,0,12.0,1,1,0,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
SRH vs RR,RR,Shahbaz Ahmed,1.0,0,11,0,11.0,2,2,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
PBKS vs CSK,CSK,Kagiso Rabada,4.0,0,23,1,5.75,9,2,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
PBKS vs CSK,CSK,Arshdeep Singh,4.0,0,52,1,13.0,8,7,2,5,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
PBKS vs CSK,CSK,Sam Curran,3.0,0,37,0,12.33,6,4,2,0,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
PBKS vs CSK,CSK,Harpreet Brar,4.0,0,17,2,4.25,10,0,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
PBKS vs CSK,CSK,Rahul Chahar,4.0,0,16,2,4.0,9,0,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
PBKS vs CSK,CSK,Harshal Patel,1.0,0,12,0,12.0,0,0,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
CSK vs PBKS,PBKS,Deepak Chahar,0.2,0,4,0,12.0,1,1,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
CSK vs PBKS,PBKS,Shardul Thakur,3.4,0,48,1,13.09,3,5,2,1,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
CSK vs PBKS,PBKS,Richard Gleeson,3.5,0,30,1,7.82,10,4,0,1,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
CSK vs PBKS,PBKS,Mustafizur Rahman,4.0,1,22,0,5.5,14,2,0,5,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
CSK vs PBKS,PBKS,Ravindra Jadeja,3.0,0,22,0,7.33,6,3,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
CSK vs PBKS,PBKS,Moeen Ali,2.0,0,22,0,11.0,4,1,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
CSK vs PBKS,PBKS,Shivam Dube,1.0,0,14,1,14.0,1,1,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
LSG vs MI,MI,Marcus Stoinis,3.0,0,19,1,6.33,10,1,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
LSG vs MI,MI,Mohsin Khan,4.0,0,36,2,9.0,10,4,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
LSG vs MI,MI,Naveen-ul-Haq,3.5,0,15,1,3.91,11,0,0,0,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
LSG vs MI,MI,Mayank Yadav,3.1,0,31,1,9.78,11,3,2,2,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
LSG vs MI,MI,Ravi Bishnoi,4.0,0,28,1,7.0,8,3,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
LSG vs MI,MI,Deepak Hooda,2.0,0,13,0,6.5,3,1,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
MI vs LSG,LSG,Nuwan Thushara,4.0,0,30,1,7.5,11,3,1,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
MI vs LSG,LSG,Jasprit Bumrah,4.0,0,17,0,4.25,16,1,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
MI vs LSG,LSG,Gerald Coetzee,3.0,0,29,1,9.66,6,4,0,3,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
MI vs LSG,LSG,Piyush Chawla,3.0,0,23,0,7.66,5,3,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
MI vs LSG,LSG,Hardik Pandya,4.0,0,26,2,6.5,8,2,0,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
MI vs LSG,LSG,Mohammad Nabi,1.2,0,16,1,12.0,1,1,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
KKR vs DC,DC,Mitchell Starc,3.0,0,43,1,14.33,6,5,2,2,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
KKR vs DC,DC,Vaibhav Arora,4.0,0,29,2,7.25,15,4,1,2,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
KKR vs DC,DC,Harshit Rana,4.0,0,28,2,7.0,11,3,1,1,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
KKR vs DC,DC,Sunil Narine,4.0,0,24,1,6.0,9,1,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
KKR vs DC,DC,Varun Chakravarthy,4.0,0,16,3,4.0,13,1,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
KKR vs DC,DC,Andre Russell,1.0,0,10,0,10.0,3,2,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
DC vs KKR,KKR,Lizaad Williams,3.0,0,38,1,12.66,7,3,3,1,1,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
DC vs KKR,KKR,Khaleel Ahmed,3.0,0,28,0,9.33,9,4,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
DC vs KKR,KKR,Rasikh Salam,2.3,0,30,0,12.0,3,4,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
DC vs KKR,KKR,Axar Patel,4.0,0,25,2,6.25,10,3,0,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
DC vs KKR,KKR,Kuldeep Yadav,4.0,0,34,0,8.5,8,2,2,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
SRH vs CSK,CSK,Bhuvneshwar Kumar,4.0,0,38,1,9.5,7,5,1,0,0,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-sunrisers-hyderabad-46th-match-1426284/full-scorecard
