Match_URL,Innings,Batting_Team,Bowling_Team,Position,Player,Out_Status,Runs,Balls,Fours,Sixes,SR
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard,2,RR,SRH,1,Yashasvi Jaiswal,out,42,21,4,3,200.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard,2,RR,SRH,2,Tom Kohler-Cadmore,out,10,16,1,0,62.50
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard,2,RR,SRH,3,Sanju Samson (c)†,out,10,11,1,0,90.90
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard,2,RR,SRH,4,Riyan Parag,out,6,10,0,0,60.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard,2,RR,SRH,5,Dhruv Jurel,not out,56,35,7,2,160.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard,2,RR,SRH,6,Ravichandran Ashwin,out,0,3,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard,2,RR,SRH,7,Shimron Hetmyer,out,4,10,0,0,40.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard,2,RR,SRH,8,Rovman Powell,out,6,12,0,0,50.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard,2,RR,SRH,9,Trent Boult,not out,0,3,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,1,RCB,RR,1,Virat Kohli,out,33,24,3,1,137.50
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,1,RCB,RR,2,Faf du Plessis (c),out,17,14,2,1,121.42
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,1,RCB,RR,3,Cameron Green,out,27,21,2,1,128.57
