Team1,Team2,Winner,Margin,Ground,Match_Date,Scorecard
KKR,RCB,KKR,1 run,Eden Gardens,"Apr 21, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-royal-challengers-bengaluru-36th-match-1426274/full-scorecard
DC,SRH,SRH,67 runs,Delhi,"Apr 20, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-sunrisers-hyderabad-35th-match-1426273/full-scorecard
LSG,CSK,LSG,8 wickets,Lucknow,"Apr 19, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-chennai-super-kings-34th-match-1426272/full-scorecard
Punjab Kings,MI,MI,9 runs,Mullanpur,"Apr 18, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-mumbai-indians-33rd-match-1426271/full-scorecard
GT,DC,DC,6 wickets,Ahmedabad,"Apr 17, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-delhi-capitals-32nd-match-1426270/full-scorecard
KKR,RR,RR,2 wickets,Eden Gardens,"Apr 16, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-rajasthan-royals-31st-match-1426269/full-scorecard
RCB,SRH,SRH,25 runs,Bengaluru,"Apr 15, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-sunrisers-hyderabad-30th-match-1426268/full-scorecard
MI,CSK,CSK,20 runs,Wankhede,"Apr 14, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-chennai-super-kings-29th-match-1426267/full-scorecard
KKR,LSG,KKR,8 wickets,Eden Gardens,"Apr 14, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-lucknow-super-giants-28th-match-1426266/full-scorecard
Punjab Kings,RR,RR,3 wickets,Mullanpur,"Apr 13, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-rajasthan-royals-27th-match-1426265/full-scorecard
LSG,DC,DC,6 wickets,Lucknow,"Apr 12, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-delhi-capitals-26th-match-1426264/full-scorecard
MI,RCB,MI,7 wickets,Wankhede,"Apr 11, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-royal-challengers-bengaluru-25th-match-1426263/full-scorecard
RR,GT,GT,3 wickets,Jaipur,"Apr 10, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-gujarat-titans-24th-match-1426262/full-scorecard
Punjab Kings,SRH,SRH,2 runs,Mullanpur,"Apr 9, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-sunrisers-hyderabad-23rd-match-1426261/full-scorecard
CSK,KKR,CSK,7 wickets,Chennai,"Apr 8, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-kolkata-knight-riders-22nd-match-1426260/full-scorecard
LSG,GT,LSG,33 runs,Lucknow,"Apr 7, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-gujarat-titans-21st-match-1422139/full-scorecard
MI,DC,MI,29 runs,Wankhede,"Apr 7, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-delhi-capitals-20th-match-1422138/full-scorecard
RR,RCB,RR,6 wickets,Jaipur,"Apr 6, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-19th-match-1422137/full-scorecard
SRH,CSK,SRH,6 wickets,Hyderabad,"Apr 5, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-chennai-super-kings-18th-match-1422136/full-scorecard
GT,Punjab Kings,Punjab Kings,3 wickets,Ahmedabad,"Apr 4, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-punjab-kings-17th-match-1422135/full-scorecard
DC,KKR,KKR,106 runs,Visakhapatnam,"Apr 3, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-kolkata-knight-riders-16th-match-1422134/full-scorecard
RCB,LSG,LSG,28 runs,Bengaluru,"Apr 2, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-lucknow-super-giants-15th-match-1422133/full-scorecard
MI,RR,RR,6 wickets,Wankhede,"Apr 1, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-rajasthan-royals-14th-match-1422132/full-scorecard
DC,CSK,DC,20 runs,Visakhapatnam,"Mar 31, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-chennai-super-kings-13th-match-1422131/full-scorecard
GT,SRH,GT,7 wickets,Ahmedabad,"Mar 31, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-sunrisers-hyderabad-12th-match-1422130/full-scorecard
LSG,Punjab Kings,LSG,21 runs,Lucknow,"Mar 30, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-punjab-kings-11th-match-1422129/full-scorecard
RCB,KKR,KKR,7 wickets,Bengaluru,"Mar 29, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-kolkata-knight-riders-10th-match-1422128/full-scorecard
RR,DC,RR,12 runs,Jaipur,"Mar 28, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-delhi-capitals-9th-match-1422127/full-scorecard
SRH,MI,SRH,31 runs,Hyderabad,"Mar 27, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-mumbai-indians-8th-match-1422126/full-scorecard
CSK,GT,CSK,63 runs,Chennai,"Mar 26, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-gujarat-titans-7th-match-1422125/full-scorecard
RCB,Punjab Kings,RCB,4 wickets,Bengaluru,"Mar 25, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-punjab-kings-6th-match-1422124/full-scorecard
GT,MI,GT,6 runs,Ahmedabad,"Mar 24, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-mumbai-indians-5th-match-1422123/full-scorecard
RR,LSG,RR,20 runs,Jaipur,"Mar 24, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-lucknow-super-giants-4th-match-1422122/full-scorecard
KKR,SRH,KKR,4 runs,Eden Gardens,"Mar 23, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-3rd-match-1422121/full-scorecard
Punjab Kings,DC,Punjab Kings,4 wickets,Mullanpur,"Mar 23, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-delhi-capitals-2nd-match-1422120/full-scorecard
CSK,RCB,CSK,6 wickets,Chennai,"Mar 22, 2024",https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-royal-challengers-bengaluru-1st-match-1422119/full-scorecard
