name,image,batting_style,bowling_style,playing_role,description
Joshua Brian Little,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/367800/367860.1.png",Right hand Bat,Left arm Fast medium,Bowler,"A bustling left-arm seamer from Dublin, Josh Little made an immediate impression on ODI debut against England in 2019 when he took 4 for 45 - including the wicket of Eoin Morgan with a sharp bouncer - to leave the world's No. 1-ranked side struggling in an ultimately successful run chase. Little had made his T20I debut two months short of his 17th birthday back in 2016, but found himself balancing academic commitments with cricket in the first two years of his career, limiting his availability. He began to feature more regularly from 2019 onwards, as one of a number of promising young Irish seamers coming through at the same time, and was awarded an emerging player contract that year."
Darshan Girish Nalkande,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/357400/357411.3.png",Right hand Bat,Right arm Fast medium,Bowler,
Noor Ahmad Lakanwal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383239.1.png",Right hand Bat,Left arm Wrist spin,Bowler,"Following in the footsteps of his countrymen, Rashid Khan and Mujeeb Ur Rahman, Noor Ahmad is another spinner from Afghanistan who is popular on the franchise T20 league circuit. His rare skillset - left-arm wristspin - led to opportunities across the globe even as a teenager. After making his first-class debut in 2019 at the age of 14, Noor was only 15 when he landed a contract with Melbourne Renegades, making him the youngest player in BBL history. A Pakistan Super League gig with Karachi Kings followed in 2021, and then came a maiden call-up to the Afghanistan team. However, it was after he took 10 wickets in the 2022 Under-19 World Cup that Noor made his international debut in a T20I against Zimbabwe, and won the Player of the Match award for taking four wickets."
Ravisrinivasan Sai Kishore,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/362500/362558.6.png",Left hand Bat,Slow Left arm Orthodox,Bowler,"A six-foot three left-arm spinner from Tamil Nadu, R Sai Kishore rose through the ranks in Tamil Nadu to get to the state team, the Tamil Nadu Premier League and the IPL before a T20I debut with a second-string India side during the Asian Games in Hangzhou in 2023. He made a mark for Tamil Nadu in only his second one-day game when he took a four-for in the 2016-17 Vijay Hazare semi-final before his team went on to lift the trophy. He was already among the most consistent players in the TNPL by then, known for his frugal economy rate, accuracy and wicket-taking ability with the new ball. Like his idol R Ashwin, Sai Kishore soon replicated that 50-over form in the T20 Syed Mushtaq Ali Trophy in 2019-20, when he topped the wicket-taking chart in Tamil Nadu's run to the final."
Sankarankutty Sandeep Warrier,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359763.1.png",Right hand Bat,Right arm Medium,Bowler,
Mohit Mahipal Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316700/316702.2.png",Right hand Bat,Right arm Medium,Bowler,"Although Mohit Sharma burst onto the domestic scene during Haryana's best Ranji Trophy season in 2011-12, he made his own headlines a year later. In his debut season Mohit had played just three matches when Haryana made an impressive run to the semi-finals, but during the 2012-13 Ranji season he emerged as one of the best fast bowlers in the country, finishing as the fifth-highest wicket-taker. Despite that, not many had seen or known about the youngster from Faridabad, who had been on the fringes ever since he rose through age-group cricket camps organised by the Haryana Cricket Association."
Jayant Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322500/322553.1.png",Right hand Bat,Right arm Offbreak,Bowler,"An offspinner from Haryana who can also bat in the lower order, Jayant Yadav made his first-class debut in 2011 at the age of 21. He picked up six wickets in that match, helping his side to a big win against Gujarat, but managed only one more in the two other Ranji Trophy matches he played that season. He was noticed for his batting a year later when he scored 211, his maiden hundred, against Karnataka, and shared a record-breaking stand of 392 for the eighth wicket with Amit Mishra."
Umeshkumar Tilak Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316667.2.png",Right hand Bat,Right arm Fast,Bowler,"Less than two seasons after fast bowler Umesh Yadav first played with a leather ball, he was bowling against the likes of Rahul Dravid and VVS Laxman in the Duleep Trophy. What makes his ascent even more remarkable is that he represents unglamorous Vidarbha in the Plate League of the Ranji Trophy. Yadav is the son of a coal-mine worker and was aiming to become a policeman. He only started considering a career in cricket as a 19-year-old, an age by which the best young Indian cricketers are in the running for a national cap."
Sushant Samirkumar Mishra,https://wassets.hscicdn.com/static/images/lazyimage-noaspect.svg,Left hand Bat,Left arm Medium fast,Bowler,
Mohammed Shami Ahmed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390300/390351.5.png",Right hand Bat,Right arm Fast,Bowler,"Mohammed Shami was India's leading fast bowler in the 2015 World Cup in Australia, when the team marched into the semi-finals and picked up 77 out of 80 wickets on offer. It was later revealed that he had played through that entire tournament - and the preceding Test series against the hosts, essentially four months - through a knee injury. His success can be attributed to his pace, accuracy and primarily his skill in moving the ball - both old and new. There were plenty of frustrating times as well. Shami was hopeful of a return to the Indian team in early 2016, but a hamstring injury ruled him out a limited-overs tour of Australia and the Asia Cup in February. He was selected in a 15-man squad for the World T20 in March, but was unable to break into the XI having spent a year out of international cricket."
